0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:36 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:02 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:08 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:20:21 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:21:25 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:22:20 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:02 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:25 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:40 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:49 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:11 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:12 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:12 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:50 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:25:01 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:07 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:43 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:44 +0900] "GET /client/html/Q008.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:44 +0900] "GET /client/html/Q008.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:18 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:18 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 206 517609
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:28 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:30 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 206 26089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:38 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:38 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 206 517609
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:44 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:44 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 206 607808
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:44 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 206 607241
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:09 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:09 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:09 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 304 -
