127.0.0.1 - - [20/Sep/2023:12:22:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:22:04 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:22:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:29:48 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:32:28 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:33:40 +0900] "GET /client/html/ex09_style.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:38:09 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:46:02 +0900] "GET /client/html/Q001.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:46:26 +0900] "GET /client/html/Q001.html HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:46:26 +0900] "GET /client/html/images/dog.jpg HTTP/1.1" 200 416687
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:46:54 +0900] "GET /client/html/Q001.html HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:05 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:07 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:07 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:07 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:07 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:47:07 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:48:04 +0900] "GET /client/html/Q001.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:48:04 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:48:04 +0900] "GET /client/html/Q001.html HTTP/1.1" 304 -
